pso_rnd,Suite("b'bbob'", "b''", "b'function_indices:1 dimensions:10 instance_indices:1'") with 1 problem in dimension 10=10,2019-12-09 04:11:17.087625
solver, problem_id, start_time, spent_time, spent_nfe, max_nfe, fitness
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:11:17.087736,0:00:04.055584,100901,100000.0,85.18693725783841
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:11:21.143462,0:00:04.162350,100100,100000.0,82.20321635574349
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:11:25.305885,0:00:04.018397,100170,100000.0,81.65709592077687
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:11:29.324350,0:00:03.765453,100372,100000.0,84.76445933421832
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:11:33.089879,0:00:03.631355,100152,100000.0,82.36550593505402
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:11:36.721299,0:00:04.006534,100181,100000.0,80.94095546677705
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:11:40.727917,0:00:04.018393,100683,100000.0,92.23893655192818
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:11:44.746380,0:00:03.524512,100100,100000.0,83.8233109887584
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:11:48.270954,0:00:04.117181,100430,100000.0,83.40084991001879
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:11:52.388204,0:00:04.104341,100050,100000.0,80.23335338166504
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:11:56.492613,0:00:03.649268,100062,100000.0,85.85043252040415
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:12:00.141948,0:00:04.005628,100224,100000.0,85.28754000457108
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:12:04.147641,0:00:04.010175,100250,100000.0,86.42322891233628
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:12:08.157891,0:00:04.043562,101530,100000.0,85.71932414832219
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:12:12.201538,0:00:03.786072,100368,100000.0,88.28439296241974
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:12:15.987675,0:00:04.616180,100548,100000.0,84.96758562549479
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:12:20.603920,0:00:04.015308,100068,100000.0,85.05769262466929
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:12:24.619293,0:00:03.774887,100005,100000.0,79.85423724135214
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:12:28.394249,0:00:03.908718,100605,100000.0,85.52584704041614
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:12:32.303038,0:00:03.912781,100827,100000.0,89.83168241429944
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:12:36.215896,0:00:04.132526,101808,100000.0,82.13096746396828
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:12:40.348498,0:00:03.503714,100010,100000.0,83.12044132644506
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:12:43.852280,0:00:04.405163,100455,100000.0,86.29216708337512
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:12:48.258122,0:00:04.122496,100093,100000.0,84.79290038342344
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:12:52.380701,0:00:03.787235,100308,100000.0,79.60828785996382
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:12:56.168004,0:00:03.602281,100010,100000.0,80.02619788812069
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:12:59.770357,0:00:04.001351,101306,100000.0,83.44291877949587
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:13:03.771787,0:00:03.822541,100191,100000.0,87.60769762667572
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:13:07.594395,0:00:03.850348,100344,100000.0,80.586592386859
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:13:11.444810,0:00:03.717485,100674,100000.0,82.02241330974917
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:13:15.162362,0:00:03.774481,101220,100000.0,83.6591036140714
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:13:18.936923,0:00:03.794380,100200,100000.0,88.71678744097855
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:13:22.731370,0:00:04.296739,101124,100000.0,83.1716988414499
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:13:27.028178,0:00:04.415342,100737,100000.0,81.28386836037643
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:13:31.444964,0:00:04.167957,101010,100000.0,84.95175822636813
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:13:35.613002,0:00:04.028103,100874,100000.0,79.68488907134623
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:13:39.641185,0:00:04.171527,101270,100000.0,81.69944706087259
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:13:43.812786,0:00:04.038958,100320,100000.0,84.90320213383497
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:13:47.851807,0:00:04.212461,100144,100000.0,87.2903385801198
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:13:52.064806,0:00:04.426326,101112,100000.0,82.90713872195963
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:13:56.491192,0:00:03.900896,100122,100000.0,86.59779665892697
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:14:00.392161,0:00:04.150990,100646,100000.0,82.12209392953459
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:14:04.543230,0:00:04.002779,100512,100000.0,86.38279613954224
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:14:08.546088,0:00:03.847394,100646,100000.0,80.37906204492094
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:14:12.393558,0:00:04.209773,101154,100000.0,83.26311433546951
pso_rnd,bbob_f001_i01_d10,2019-12-09 04:14:16.603404,0:00:04.234488,100567,100000.0,84.46179365391116
