pso_400_0.5_0.1_1.8,Suite("b'bbob'", "b''", "b'function_indices:1 dimensions:10 instance_indices:1'") with 1 problem in dimension 10=10,2019-12-09 04:33:00.336429
solver, problem_id, start_time, spent_time, spent_nfe, max_nfe, fitness
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:35:40.643103,0:00:03.756250,100000,100000.0,79.4896918474595
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:35:44.399425,0:00:03.727719,100000,100000.0,79.48765966568553
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:35:48.127216,0:00:03.673194,100000,100000.0,79.490409388901
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:35:51.800478,0:00:03.687883,100000,100000.0,79.4934411387149
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:35:55.488861,0:00:03.649732,100000,100000.0,79.49910845694534
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:35:59.138660,0:00:03.562813,100000,100000.0,79.48735838208458
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:36:02.701563,0:00:03.621428,100000,100000.0,79.48657423701195
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:36:06.323666,0:00:03.659723,100000,100000.0,79.48470356813512
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:36:09.983460,0:00:03.555618,100000,100000.0,79.48736515266101
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:36:13.539145,0:00:03.945892,100000,100000.0,79.49152941798472
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:36:17.485673,0:00:03.638633,100000,100000.0,79.48639905368431
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:36:21.124377,0:00:03.638863,100000,100000.0,79.49169103480604
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:36:24.763312,0:00:03.890865,100000,100000.0,79.4924784192912
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:36:28.654253,0:00:04.044187,100000,100000.0,79.49565459601298
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:36:32.699877,0:00:03.417029,100000,100000.0,79.48362216685173
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:36:36.116978,0:00:03.365517,100000,100000.0,79.49461930185576
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:36:39.482557,0:00:03.320821,100000,100000.0,79.48828621517369
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:36:42.803445,0:00:03.510437,100000,100000.0,79.49986571454218
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:36:46.313946,0:00:03.727272,100000,100000.0,79.48908855533942
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:36:50.042068,0:00:03.780852,100000,100000.0,79.49326159031229
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:36:53.822986,0:00:03.382774,100000,100000.0,79.49561984401038
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:36:57.205821,0:00:03.358449,100000,100000.0,79.49747126629869
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:37:00.564343,0:00:03.687820,100000,100000.0,79.48409414770377
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:37:04.252235,0:00:03.710872,100000,100000.0,79.48541436481621
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:37:07.964020,0:00:03.648720,100000,100000.0,79.4895601961549
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:37:11.612805,0:00:03.562853,100000,100000.0,79.49123173838046
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:37:15.175728,0:00:03.470671,100000,100000.0,79.4867562331342
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:37:18.646481,0:00:03.461214,100000,100000.0,79.49925055920365
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:37:22.107754,0:00:03.373967,100000,100000.0,79.48841928744976
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:37:25.481781,0:00:03.729540,100000,100000.0,79.4852758837326
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:37:29.212823,0:00:03.624716,100000,100000.0,79.49125776989466
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:37:32.837660,0:00:03.489828,100000,100000.0,79.4893299658044
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:37:36.327553,0:00:03.480960,100000,100000.0,79.49307235317225
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:37:39.808578,0:00:03.528866,100000,100000.0,79.49268155166547
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:37:43.337521,0:00:03.474932,100000,100000.0,79.4904891568755
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:37:46.812517,0:00:03.484678,100000,100000.0,79.49642897830455
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:37:50.297534,0:00:03.562749,100000,100000.0,79.49798523754528
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:37:53.860348,0:00:03.764750,100000,100000.0,79.48889337611021
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:37:57.625162,0:00:03.606583,100000,100000.0,79.49095333237247
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:38:01.231826,0:00:03.642722,100000,100000.0,79.49273183058963
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:38:04.874653,0:00:03.765413,100000,100000.0,79.49275605258751
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:38:08.640128,0:00:03.704292,100000,100000.0,79.49268558305627
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:38:12.344484,0:00:03.571715,100000,100000.0,79.48932344008283
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:38:15.916260,0:00:03.596557,100000,100000.0,79.4848693112504
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:38:19.512880,0:00:03.799878,100000,100000.0,79.497921516372
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:38:23.312824,0:00:03.627286,100000,100000.0,79.49899139028322
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:38:26.940185,0:00:03.593941,100000,100000.0,79.48870778217497
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:38:30.534197,0:00:03.584533,100000,100000.0,79.48806470407108
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:38:34.118789,0:00:03.692461,100000,100000.0,79.49993764352953
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:38:37.811325,0:00:03.663450,100000,100000.0,79.49011554575698
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:38:41.474845,0:00:03.553003,100000,100000.0,79.4886676188547
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:38:45.027912,0:00:03.445408,100000,100000.0,79.49187131988502
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:38:48.473404,0:00:03.547825,100000,100000.0,79.494205182289
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:38:52.021299,0:00:03.685712,100000,100000.0,79.49216898708353
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:38:55.707676,0:00:03.686456,100000,100000.0,79.48993590267128
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:38:59.394238,0:00:03.699511,100000,100000.0,79.4927028745615
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:39:03.093840,0:00:03.792931,100000,100000.0,79.48806820059512
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:39:06.886851,0:00:03.402957,100000,100000.0,79.48813006253398
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:39:10.289873,0:00:03.598854,100000,100000.0,79.4888242757353
pso_400_0.5_0.1_1.8,bbob_f001_i01_d10,2019-12-09 04:39:13.888796,0:00:03.662071,100000,100000.0,79.49087472554491
